effectiveness,depth,time
0.146768, 364, 33
0.177592, 304, 63
0.175918, 320, 50
0.0921415, 388, 23
0.193993, 344, 43
0.162377, 315, 45
0.116953, 360, 33
0.132334, 360, 35
0.157101, 347, 47
0.108229, 384, 24
0.166218, 351, 38
0.226692, 345, 35
0.114266, 393, 30
0.181576, 351, 41
0.19309, 370, 49
0.155228, 337, 30
0.140102, 358, 28
0.149858, 368, 37
0.127292, 404, 25
0.13223, 421, 25
0.128172, 317, 45
0.116652, 390, 26
0.244932, 323, 37
0.107009, 376, 25
0.121874, 315, 39
0.181919, 348, 54
0.175238, 277, 44
0.132439, 365, 25
0.120261, 348, 35
0.156097, 321, 52
