effectiveness,depth,time
0.104169, 43, 209
0.104367, 43, 200
0.104169, 43, 198
0.104169, 43, 202
0.104169, 43, 193
0.104169, 43, 210
0.104169, 43, 191
0.104212, 43, 202
0.104169, 43, 208
0.104169, 43, 191
0.104169, 43, 205
0.104901, 43, 194
0.104169, 43, 202
0.104169, 43, 202
0.104169, 43, 185
0.105977, 43, 194
0.104169, 43, 234
0.104169, 43, 208
0.104169, 43, 202
0.104169, 43, 192
0.104241, 43, 221
0.104743, 43, 206
0.104169, 43, 198
0.105302, 43, 196
0.104169, 43, 193
0.104169, 43, 187
0.104169, 43, 195
0.106338, 43, 189
0.104169, 43, 198
0.104169, 43, 179
