effectiveness,depth,time
0.133502, 41, 47
0.133502, 40, 52
0.133503, 39, 49
0.133529, 41, 44
0.133502, 41, 48
0.133502, 41, 46
0.133739, 41, 45
0.133502, 41, 46
0.133503, 40, 45
0.13438, 39, 48
0.134462, 39, 47
0.137929, 41, 44
0.133502, 41, 49
0.133502, 41, 49
0.133502, 40, 49
0.133502, 41, 48
0.133502, 41, 48
0.133502, 41, 44
0.133652, 39, 58
0.135398, 41, 49
0.137929, 41, 45
0.137856, 41, 48
0.133502, 41, 46
0.133503, 40, 45
0.133502, 41, 49
0.133502, 41, 50
0.133502, 41, 48
0.133502, 40, 45
0.133514, 41, 46
0.133502, 41, 46
