effectiveness,depth,time
0.234596, 38, 13
0.234313, 38, 13
0.234305, 38, 12
0.234304, 38, 12
0.234312, 37, 13
0.234305, 37, 13
0.234305, 37, 14
0.234304, 38, 13
0.238752, 38, 13
0.234308, 38, 13
0.234304, 38, 13
0.234555, 35, 13
0.234304, 38, 15
0.239005, 38, 12
0.234308, 38, 13
0.238323, 38, 13
0.234304, 38, 13
0.234306, 38, 12
0.234304, 38, 14
0.234307, 38, 14
0.234304, 37, 13
0.234306, 38, 15
0.234304, 38, 13
0.234305, 38, 14
0.234305, 38, 14
0.237113, 38, 13
0.234307, 38, 14
0.244543, 38, 13
0.23547, 37, 13
0.234504, 38, 16
