effectiveness,depth,time
0.0236261, 36, 18
0.0236317, 36, 17
0.0236261, 36, 18
0.0236261, 36, 17
0.0236261, 36, 17
0.0236261, 36, 18
0.0236261, 36, 17
0.0236261, 36, 18
0.0236261, 36, 18
0.0236261, 36, 17
0.0236261, 36, 18
0.0236261, 36, 18
0.0236261, 36, 17
0.0236571, 36, 17
0.0236571, 36, 18
0.0236261, 36, 18
0.0236571, 36, 17
0.0236261, 36, 17
0.0236261, 36, 18
0.0236261, 36, 18
0.0236261, 36, 18
0.0236317, 36, 18
0.0236261, 36, 17
0.0236261, 36, 17
0.0236571, 36, 18
0.0236633, 36, 18
0.0236571, 36, 18
0.0236261, 36, 18
0.0236571, 36, 17
0.0236656, 36, 17
