effectiveness,depth,time
0.0644294, 180, 18
0.0475332, 169, 14
0.0516917, 165, 24
0.0754846, 223, 15
0.0847513, 226, 27
0.055179, 222, 12
0.058451, 154, 24
0.0502434, 185, 21
0.046426, 197, 16
0.0579081, 213, 12
0.0600286, 215, 14
0.0660504, 170, 35
0.0983179, 208, 23
0.0534859, 177, 16
0.0511702, 212, 15
0.0511732, 177, 12
0.05293, 188, 16
0.0603341, 218, 25
0.0458184, 189, 22
0.0469525, 202, 15
0.0470269, 247, 14
0.0623214, 185, 21
0.0982521, 230, 20
0.0515376, 170, 12
0.0555441, 194, 22
0.0719634, 163, 18
0.0674604, 236, 9
0.0481302, 216, 19
0.0921063, 197, 31
0.0615544, 226, 16
