effectiveness, ellapsed_time
0.0179974, 42
0.0179974, 42
0.0179974, 43
0.0179974, 42
0.0179974, 42
0.0179974, 42
0.0179974, 42
0.0179974, 42
0.0179974, 42
0.0179974, 42
0.0179974, 42
0.0179974, 41
0.0179974, 41
0.0179974, 41
0.0179974, 60
0.0179974, 69
0.0179974, 68
0.0179974, 68
0.0179974, 70
0.0179974, 68
0.0179974, 68
0.0179974, 70
0.0179974, 68
0.0179974, 68
0.0179974, 69
0.0179974, 68
0.0179974, 68
0.0179974, 68
0.0179974, 68
0.0179974, 69
