effectiveness,depth,time
0.0454973, 41, 51
0.0454973, 40, 47
0.0456349, 41, 52
0.0454973, 41, 51
0.047569, 41, 48
0.0454973, 41, 52
0.0455126, 41, 46
0.0454973, 40, 46
0.0454973, 40, 53
0.0454973, 40, 51
0.0454973, 41, 55
0.0454973, 41, 50
0.0454973, 41, 50
0.0454973, 41, 44
0.0456709, 41, 51
0.0465125, 41, 46
0.0476038, 38, 56
0.0454973, 41, 49
0.0454973, 41, 57
0.046783, 39, 45
0.0455005, 40, 49
0.0454973, 40, 49
0.0454973, 40, 46
0.0454973, 41, 49
0.0454973, 41, 52
0.0454973, 40, 49
0.0454973, 41, 50
0.0454973, 41, 45
0.0478492, 40, 49
0.0456119, 40, 46
