effectiveness,depth,time
0.0097295, 43, 241
0.00980725, 42, 218
0.00965487, 43, 215
0.00965487, 43, 246
0.00965487, 42, 189
0.00965487, 43, 210
0.00965487, 43, 207
0.00965487, 42, 223
0.00984603, 43, 217
0.00965487, 42, 216
0.00965487, 43, 213
0.00965487, 43, 209
0.00965487, 43, 212
0.00965487, 43, 201
0.00983196, 43, 209
0.00965487, 43, 218
0.00965487, 43, 269
0.00971534, 40, 212
0.00965487, 43, 196
0.00965487, 43, 211
0.00965487, 42, 257
0.00965487, 43, 195
0.00965487, 43, 211
0.00965487, 42, 205
0.00965487, 43, 228
0.00965487, 43, 245
0.00965487, 43, 231
0.00965487, 43, 205
0.00966169, 39, 210
0.00965487, 42, 243
