effectiveness,depth,time
0.014379, 41, 57
0.0140138, 41, 52
0.0140139, 40, 53
0.0150463, 8, 95
0.0147761, 40, 61
0.0145788, 35, 54
0.0140138, 41, 50
0.014198, 40, 49
0.0140139, 40, 57
0.0154941, 40, 52
0.0153821, 35, 55
0.0158729, 38, 57
0.0155817, 39, 60
0.0159282, 41, 62
0.0173025, 33, 55
0.0146019, 36, 62
0.0140139, 41, 45
0.0178784, 5, 108
0.014622, 35, 56
0.0146612, 38, 54
0.0140138, 41, 51
0.014878, 37, 58
0.0150508, 41, 47
0.0160465, 41, 57
0.0144052, 37, 61
0.015986, 41, 54
0.0155946, 39, 51
0.0155622, 36, 56
0.0195815, 27, 50
0.0154865, 41, 52
