effectiveness,depth,time
0.0589721, 186, 13
0.0564337, 186, 12
0.0398926, 187, 14
0.0802361, 240, 16
0.0708598, 196, 14
0.0521796, 218, 20
0.0513964, 185, 18
0.0885219, 197, 20
0.0624516, 229, 16
0.0631945, 248, 22
0.0615694, 211, 15
0.0781531, 197, 19
0.0487828, 207, 20
0.0582257, 187, 24
0.0747614, 248, 18
0.0875569, 199, 16
0.0502471, 216, 11
0.0443553, 214, 18
0.0749297, 190, 16
0.046448, 185, 22
0.069168, 228, 22
0.13292, 212, 23
0.105283, 183, 19
0.106525, 214, 13
0.050658, 212, 20
0.0711817, 219, 15
0.0526209, 198, 17
0.0747032, 221, 15
0.0499784, 191, 15
0.0550869, 240, 10
