effectiveness,depth,time
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 21
0.0234129, 36, 21
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 21
0.0234129, 36, 20
0.0234129, 36, 21
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 21
0.0234129, 36, 20
0.0234129, 36, 21
0.0234129, 36, 20
0.0234129, 36, 21
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234129, 36, 20
0.0234799, 36, 21
0.0234937, 36, 20
0.0234129, 36, 21
