effectiveness,depth,time
0.200092, 307, 53
0.124663, 351, 45
0.143241, 374, 48
0.145084, 349, 39
0.179852, 358, 49
0.17443, 307, 68
0.283441, 313, 127
0.171985, 357, 51
0.185667, 337, 51
0.12212, 369, 38
0.227286, 303, 88
0.141116, 378, 43
0.121042, 352, 35
0.140924, 292, 46
0.197271, 370, 50
0.181391, 350, 52
0.193802, 385, 44
0.151146, 315, 74
0.235237, 380, 51
0.222343, 297, 55
0.114149, 303, 45
0.154078, 256, 65
0.158886, 341, 51
0.162483, 310, 48
0.169034, 321, 47
0.170794, 260, 48
0.152923, 374, 55
0.202477, 339, 55
0.109909, 387, 33
0.138414, 360, 37
