effectiveness, elapsed_time
0.0315027, 34
0.0315027, 34
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 36
0.0315027, 35
0.0315027, 36
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 36
0.0315027, 36
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 35
0.0315027, 36
0.0315027, 35
0.0315027, 36
0.0315027, 35
0.0315027, 35
0.0315027, 36
