id,created_at,news
1536819268637138944,2022-06-14 21:14:01+00:00,"Guardian front page, Wednesday 15 June 2022: European ruling throws Rwanda plan into chaos https://t.co/gECyLdLnca"
1536818839194836996,2022-06-14 21:12:18+00:00,Brazil Indigenous agency staff strike over Bruno Pereira disappearance https://t.co/Ab5opOgyj2
1536817992473927680,2022-06-14 21:08:56+00:00,Appeal trial for jailed Golden Dawn leaders to start amid anti-fascist protests https://t.co/FbFCYhB4ds
1536816605317013505,2022-06-14 21:03:26+00:00,Wales comeback thwarted by Memphis Depay’s last-gasp Netherlands winner https://t.co/B1qzrDtSA4
1536816601152077830,2022-06-14 21:03:25+00:00,England humiliated by Hungary in worst home defeat in 94 years https://t.co/Ukm3lugunU
1536815323827036163,2022-06-14 20:58:20+00:00,People who caught Covid in first wave get ‘no immune boost’ from Omicron https://t.co/pV2HkICOZn
1536813783842271232,2022-06-14 20:52:13+00:00,The Guardian view on obesity: the public wants better health | Editorial https://t.co/CP4GJXyi37
1536812364040916999,2022-06-14 20:46:34+00:00,"Fastest-growing black hole of past 9bn years may have been found, Australian-led astronomers say https://t.co/kxCXgru86K"
1536810737242411009,2022-06-14 20:40:06+00:00,Barcelona to install sound level monitors in bid to beat noise pollution https://t.co/Dt6I5DIEXx
1536809374999621632,2022-06-14 20:34:42+00:00,Met Office issues heat alert warning for England https://t.co/0NxBvjwpU0
1536807835203522561,2022-06-14 20:28:35+00:00,"Alexei Navalny has gone missing from Russian prison, say allies https://t.co/5vyC9Sn0WZ"
1536806537129254913,2022-06-14 20:23:25+00:00,"‘The kids clapped me, the whole school’: Yorkshire head on telling pupils he’s gay https://t.co/6uzPbDKzXj"
1536805051716476928,2022-06-14 20:17:31+00:00,US defence contractor in talks to take over NSO Group’s hacking technology https://t.co/3BjMa8vAMr
1536803381238550530,2022-06-14 20:10:53+00:00,"Journalist conviction in Zimbabwe a ‘travesty of justice’, say campaigners https://t.co/06y2owSiJf"
1536801744201580544,2022-06-14 20:04:22+00:00,Costa Rica beat New Zealand in playoff to take final spot at 2022 World Cup https://t.co/F6aG8v6YV4
1536800825531670529,2022-06-14 20:00:43+00:00,Dutch court sentences Austrian man for helping detain six children https://t.co/ns7Ki0Yelf
1536799487716380674,2022-06-14 19:55:24+00:00,Glenn Maxwell leads Australia’s greatest chase against Sri Lanka to win first ODI https://t.co/xFQVtyex35
1536798399344873472,2022-06-14 19:51:05+00:00,A message from Grenfell to those in power: you failed us then and you are failing us now. We can’t accept that | Imran Khan https://t.co/nxwxTBA5fZ
1536797674959257600,2022-06-14 19:48:12+00:00,"‘A proper family vibe’: the Silhouettes Project, Hackney’s fiercely indie music community https://t.co/BQHzyONup5"
1536796746839478274,2022-06-14 19:44:31+00:00,Future Library opens secret archive of unseen texts in Oslo https://t.co/1mLppOXyDK
1536794863777329154,2022-06-14 19:37:02+00:00,Stuart Armstrong double helps Scotland hit back to beat nine-man Armenia https://t.co/YW6TUr42nx
1536793859652567040,2022-06-14 19:33:03+00:00,Wagwan? Why are more and more Britons speaking Multicultural London English? https://t.co/b5eBCsNKEH
1536792354698547201,2022-06-14 19:27:04+00:00,"Air pollution got worse during lockdown in many countries, study finds https://t.co/dqleigo9vl"
1536791479246589953,2022-06-14 19:23:35+00:00,"The False Servant review – deception, disguise and filthy lucre https://t.co/YLbYLu1d45"
1536789870147936257,2022-06-14 19:17:11+00:00,Vivian Maier: Anthology review – the eccentric nanny with an eye for a picture https://t.co/rKxlUVeVS8
1536787933386223617,2022-06-14 19:09:30+00:00,Top Massachusetts court blocks Uber-backed campaign to class drivers as contractors https://t.co/AJNlkmU48N
1536787672852844546,2022-06-14 19:08:27+00:00,Bulk of Tory MPs stand firm behind Northern Ireland protocol bill https://t.co/9ZrXwelq1R
1536787363309015041,2022-06-14 19:07:14+00:00,‘Where is Liz Truss?’: Sister of activist held in Cairo jail urges UK to act https://t.co/fKfNiW3SLS
1536786622821310466,2022-06-14 19:04:17+00:00,Hornets’ Harrell faces drug charge after police say he had 3lbs of marijuana in car https://t.co/EfRJuFUtfx
1536785033528229889,2022-06-14 18:57:58+00:00,Maasai leaders arrested in protests over Tanzanian game reserve https://t.co/FgmDOX9XNe
1536782634789003264,2022-06-14 18:48:26+00:00,"'I often describe it like having an open wound,' says Grenfell victim's daughter – video https://t.co/t1yOo7zyvc"
1536782073209528326,2022-06-14 18:46:12+00:00,Canada and Denmark end decades-long dispute over barren rock in Arctic https://t.co/HN1sLYyXv9
1536780078440407041,2022-06-14 18:38:17+00:00,European court makes 11th-hour intervention in UK’s Rwanda asylum plan https://t.co/eWjqBSjljq
1536778875446910978,2022-06-14 18:33:30+00:00,Rory McIlroy questions validity of LIV Golf again as he prepares for US Open https://t.co/sunqFvjzwX
1536777875273179136,2022-06-14 18:29:32+00:00,Baaeed – the best horse in the world – romps home in style at Royal Ascot https://t.co/S92MbUNGZX
1536775830960996353,2022-06-14 18:21:24+00:00,Hungary to make $600m annual profit through Russian oil tax – research agency https://t.co/EcSivX9o5a
1536774137150152704,2022-06-14 18:14:40+00:00,The Guardian view on Ukraine’s suffering: no end in sight | Editorial https://t.co/i5eS180bSU
1536773845830483968,2022-06-14 18:13:31+00:00,Liverpool confirm Darwin Núñez signing in £85m deal https://t.co/GuM7XM4nZJ
1536772339538579467,2022-06-14 18:07:32+00:00,UK airline industry should pull out of evasive manoeuvres https://t.co/EBipRlZvjH
1536769940153282560,2022-06-14 17:58:00+00:00,Share your stories and pictures of UK Pride over the last 50 years https://t.co/WlB7NXBkQX
1536769869651271683,2022-06-14 17:57:43+00:00,Crypto exchanges Coinbase and BlockFi lay off hundreds of staff https://t.co/I9BJKAU1Dc
1536768835738554368,2022-06-14 17:53:36+00:00,Turkey threatens year’s delay to Swedish and Finnish entry to Nato https://t.co/Yy35XQBra8
1536767586507145221,2022-06-14 17:48:39+00:00,Bairstow smashes century to set up England’s series win over New Zealand https://t.co/Pk8uy6dqR8
1536766204060307456,2022-06-14 17:43:09+00:00,Brazil envoy apologises to Dom Phillips’ family for saying bodies had been found https://t.co/0v5MzJ0Ivb
1536765944034369536,2022-06-14 17:42:07+00:00,"Most emergency patients in NSW seen within 30 minutes during Omicron outbreak, report suggests https://t.co/51k51KUjgu"
1536765938959364099,2022-06-14 17:42:06+00:00,Only 50% of aged care residents are fully boosted against Covid with vaccine rollout labelled ‘too slow’ https://t.co/3ZLkla3z07
1536764745113649160,2022-06-14 17:37:21+00:00,England v Hungary: Nations League – live! https://t.co/q3j6LSyLnq
1536763925773094913,2022-06-14 17:34:06+00:00,Pound falls to lowest level since pandemic crash https://t.co/P8arJuXeyS
1536762819265417219,2022-06-14 17:29:42+00:00,Jacob Rees-Mogg plan to axe EU laws sparks cabinet row https://t.co/eeeXa5epjt
1536762195018928130,2022-06-14 17:27:13+00:00,Infant free school meals funding in England rises by just 7p per pupil https://t.co/TMHVOrJ3zz
1536762192619573252,2022-06-14 17:27:13+00:00,Failure to tackle Teesside’s toxic legacy is devastating for sea life and livelihoods | Letters https://t.co/zfi9MziQV2
1536762188513394692,2022-06-14 17:27:12+00:00,Justice has not been done for the Grenfell 72. We must fight on until it is | Letter https://t.co/GYRmGGn2Hx
1536761909382459393,2022-06-14 17:26:05+00:00,New government ‘cost of living tsar’ called for Boris Johnson to resign https://t.co/sgq0N37z5P
1536760856775729152,2022-06-14 17:21:54+00:00,"Russia bans 29 UK journalists, including Guardian correspondents https://t.co/ydwXi5lIgq"
1536759662758047746,2022-06-14 17:17:09+00:00,‘Please stop the plane’: asylum seekers plead before Rwanda deportation flight https://t.co/ERvKTgqODG
1536759659335454720,2022-06-14 17:17:09+00:00,The government is picking a fight with reality with its NI protocol bill | Rafael Behr https://t.co/AJwoLQxEso
1536757571561865218,2022-06-14 17:08:51+00:00,"Stop calling me boring, Keir Starmer tells shadow cabinet https://t.co/fpopo9w0fk"
1536757005620224001,2022-06-14 17:06:36+00:00,Two Devon care home residents named who died in capsized boat https://t.co/AoqE9R8pFX
1536757001941811202,2022-06-14 17:06:35+00:00,"Lord Geidt, ultimate establishment stooge, struggles to maintain illusion of authority | John Crace https://t.co/xvBznJRYNE"
1536756722001395713,2022-06-14 17:05:28+00:00,"Palantir, the all-seeing US data company keen to get into NHS health systems | Arwa Mahdawi https://t.co/gwqLvJA3b4"
1536754587687964672,2022-06-14 16:56:59+00:00,Mad God review – a gruesomely squelchy fever dream from Star Wars effects maestro https://t.co/EJkbeA9Uoj
1536752766063939599,2022-06-14 16:49:45+00:00,"Boris Johnson may have broken ministerial code, says ethics adviser – video https://t.co/2zNPL1P9WC"
1536750886814461961,2022-06-14 16:42:17+00:00,"Mutants, Michael Eavis and Elvis: prep for Glastonbury 2022 – in pictures https://t.co/FXgv4mVgGD"
1536748877314813952,2022-06-14 16:34:18+00:00,More than 100 Republican primary winners support Trump’s baseless election claim https://t.co/Nm2n2SSnKI
1536746952364269572,2022-06-14 16:26:39+00:00,Lake District ‘rollercoaster theme park’ plans meet with opposition https://t.co/H8pDipykRp
1536746949776384000,2022-06-14 16:26:38+00:00,"Monarchy, celebrity and clergy: Rwanda policy’s ‘alternative opposition’ https://t.co/XLq6PZuSIs"
1536745800285540352,2022-06-14 16:22:04+00:00,"Asylum seekers are being rushed towards flights to Rwanda, without proper access to justice | Kerry Smith https://t.co/LVxW3Qsd34"
1536744288947687425,2022-06-14 16:16:04+00:00,Second union ballots Network Rail members over strike action https://t.co/CZE5VgvggU
1536744019581145089,2022-06-14 16:15:00+00:00,Erling Haaland’s ruthlessness will give Manchester City a new edge | By @WhoScored  https://t.co/HiprUzSkyj
1536742169687490560,2022-06-14 16:07:39+00:00,Indian Premier League signs five-year television deals worth £5bn https://t.co/HQGekpWarj
1536740557179043840,2022-06-14 16:01:14+00:00,UK buys option to take 20% stake in Sizewell C nuclear power plant https://t.co/lI0JkFcjqX
1536739864250617857,2022-06-14 15:58:29+00:00,Everton takeover possible after Farhad Moshiri’s talks with US consortium https://t.co/oZW8VDp78G
1536739161478152199,2022-06-14 15:55:41+00:00,"Cancellations, costs and chaos: UK theatres grapple with rising Covid cases https://t.co/dzEpTk9K1H"
1536738525755891714,2022-06-14 15:53:10+00:00,"Photographer capturing migrant camp fined €1,000 under Spain’s ‘gag law’ https://t.co/45wxh4Oo9S"
1536736897317453824,2022-06-14 15:46:42+00:00,Western Australia to become coal-free by 2030 with Muja power station to be shut down https://t.co/HY65b3uVoM
1536734157128273920,2022-06-14 15:35:48+00:00,The Fiver | The Socceroos go full Tuchel-Kepa to find their flamin’ World Cup hero https://t.co/JfWoTRjk52
1536734150534758404,2022-06-14 15:35:47+00:00,Barcelona president Joan Laporta calls for stricter rules on state-owned clubs https://t.co/tL926RC1HJ
1536732254096982016,2022-06-14 15:28:15+00:00,Yellowstone renames mountain linked to massacre of Native Americans https://t.co/fsXpsqiSDf
1536731986156453888,2022-06-14 15:27:11+00:00,"Airlines must review schedules to avoid summer flight chaos, says DfT https://t.co/Omt9WIJQHo"
1536730102884605959,2022-06-14 15:19:42+00:00,The Royal Court’s Vicky Featherstone: ‘Britain thinks it isn’t antisemitic because it defeated Hitler’ https://t.co/AhbU8c5Z25
1536728348390526978,2022-06-14 15:12:43+00:00,Stephen Colbert: ‘How many of Trump’s terrible ideas came from an inebriated Giuliani?’ https://t.co/viryCbwzYk
1536727910421233665,2022-06-14 15:10:59+00:00,"UK at start of new Covid wave driven by BA.4 and BA.5, new data suggests https://t.co/dQTLpBO1tl"
1536727411831848967,2022-06-14 15:09:00+00:00,Over 100m Americans urged to stay indoors over extreme heat and humidity https://t.co/qVX6QRquE0
1536727407830376450,2022-06-14 15:08:59+00:00,Joe Biden to visit Israel and Saudi Arabia on first Middle East trip https://t.co/L5mmj7y3zX
1536726047089209345,2022-06-14 15:03:35+00:00,"UK at start of new Covid wave driven by BA.4 and BA.5, new data suggests https://t.co/b1nwDTGmOL"
1536726042911690753,2022-06-14 15:03:34+00:00,'Hala Madrid': Aurélien Tchouaméni is unveiled after sealing €100m Real Madrid deal – video https://t.co/Ng1eaK420J
1536725662458863620,2022-06-14 15:02:03+00:00,Woman allegedly raped by police officer tells jury ‘he didn’t take no for an answer’ https://t.co/usOnuEU2V5
1536723329054392321,2022-06-14 14:52:47+00:00,Burkina Faso: dozens more bodies found after militant attack https://t.co/vbqNikOENx
1536722356697284613,2022-06-14 14:48:55+00:00,‘Eco mermaid’ sets world record for monofin swimming at 26.22 miles https://t.co/l4h5t9ZA6v
1536720832587870208,2022-06-14 14:42:52+00:00,Sievierodonetsk evacuation continues despite loss of main bridges https://t.co/C5RB9kOaph
1536720142620577792,2022-06-14 14:40:07+00:00,Pushing Buttons: Why every big game looks the same https://t.co/19yBSr8rpd
1536717873267322880,2022-06-14 14:31:06+00:00,Monkeypox outbreak delays defence report for Scottish MP’s Covid trial https://t.co/OQa7qSpx3H
1536716864717471746,2022-06-14 14:27:06+00:00,Nigel Slater’s recipe for a tart of cherries and berries https://t.co/loYLg75fcz
1536715496753602560,2022-06-14 14:21:39+00:00,Sturgeon plots alternative route to Scottish independence vote next year https://t.co/yaDKqIGd9L
1536713825952620544,2022-06-14 14:15:01+00:00,Tchouaméni ‘wants to leave his mark on history’ with evolving Real Madrid https://t.co/NAAYPUEud1
1536713823851249665,2022-06-14 14:15:01+00:00,Manifesto review – Corbyn’s campaigners keep calm and carry on in Labour election film https://t.co/nvWC8EhK1F
1536712907492409345,2022-06-14 14:11:22+00:00,What are the best Italian cookbooks? | Kitchen aide https://t.co/zI0GDlJmkZ
1536711534650564615,2022-06-14 14:05:55+00:00,Philip Baker Hall obituary https://t.co/VjM9zbEYVo
1536709078885584897,2022-06-14 13:56:09+00:00,"The young fall over, older people ‘have a fall’ - and my stepmother is none too happy about it | Zoe Williams https://t.co/vLVOjR751I"
1536706628573138949,2022-06-14 13:46:25+00:00,Archie Battersbee: mother vows to fight court ruling that son is dead https://t.co/90KWF7T69R
1536704791434383363,2022-06-14 13:39:07+00:00,Johnson defends Rwanda asylum policy as Truss says near-empty flight ‘still value for money’ – UK politics live https://t.co/zWW6ru1KXR
1536703366809665536,2022-06-14 13:33:27+00:00,Grenfell anniversary: Westminster Abbey bell tolls 72 times for victims https://t.co/aVatyOfbtW
1536703364729290752,2022-06-14 13:33:27+00:00,Millions at risk in South Sudan as Ukraine war forces slashing of aid https://t.co/UL6XeV63ba
1536702360336089088,2022-06-14 13:29:27+00:00,"UN refugee chief accuses Truss of ‘untrue’ statements on Rwanda policy
 https://t.co/nfjQ0yyrQe"
1536702274902315010,2022-06-14 13:29:07+00:00,Kim Kardashian accused of doing ‘permanent damage’ to Marilyn Monroe’s dress https://t.co/Xi3wKgCxzl
1536700146729328642,2022-06-14 13:20:40+00:00,Republicans continue to push Trump’s election lies despite January 6 panel revelations – live https://t.co/xq0cRcF69v
1536698665682739200,2022-06-14 13:14:47+00:00,Trump loyalists push desperate counter narrative to combat damaging January 6 testimony https://t.co/HPG4KXbj63
1536696929232494592,2022-06-14 13:07:53+00:00,‘I’d never seen people treated with such contempt’: Grenfell survivors speak out five years on https://t.co/tY0OMQJPym
1536696495679881217,2022-06-14 13:06:09+00:00,"UN refugee chief accuses Truss over Rwanda removals policy
 https://t.co/R9zfT4Lhlo"
1536695822070403072,2022-06-14 13:03:29+00:00,Ex-police officer jailed for 20 weeks over racist WhatsApp messages https://t.co/EbhfoE4SZ1
1536693726009085954,2022-06-14 12:55:09+00:00,The Tories are neglecting those children who didn’t go to university | Polly Toynbee https://t.co/flzHEyjX95
1536691713460391936,2022-06-14 12:47:09+00:00,Prominent lawyer among dozens jailed for treason in Cambodia https://t.co/NakjqAZZjk
1536690269030055936,2022-06-14 12:41:25+00:00,A Rembrandt goes to Wales: ‘It’s probably worth more than the whole town’ https://t.co/6qTPHWJDnF
1536689293460230144,2022-06-14 12:37:32+00:00,‘I’m enjoying meself’: 67-year-old crowd surfer hailed at Killers gig https://t.co/3sPnTvfOzC
1536686582316601344,2022-06-14 12:26:46+00:00,Government pulls plug on its remaining UK electric car subsidies https://t.co/yMqerfYyd5
1536685675893952512,2022-06-14 12:23:10+00:00,"‘Reasonable’ to suggest PM may have broken code over Partygate, says ethics adviser https://t.co/9bV0aEEifj"
1536684749334401025,2022-06-14 12:19:29+00:00,"Like Napoleon at Elba, Donald Trump plots his revenge and return https://t.co/D0IyUIl7w8"
1536684628198555649,2022-06-14 12:19:00+00:00,Have your photos published in the Guardian’s letters pages https://t.co/ll3443nPhy
1536684375735209984,2022-06-14 12:18:00+00:00,Canada air crew caught up in ‘hellish’ Dominican Republic drugs bust begs for repatriation https://t.co/3vbuRKoT9m
1536682303014961152,2022-06-14 12:09:45+00:00,‘One day suddenly we were kissing!’ The couples whose love bridges the age gap https://t.co/Z8LfJsaI8Q
1536680665076453377,2022-06-14 12:03:15+00:00,Compulsory naps and an Ascot hat: Tuesday’s best photos https://t.co/tH1IiswVMm
1536680374062940160,2022-06-14 12:02:05+00:00,Pressure grows to extend UK steel import quotas https://t.co/2t0s6gnew3
1536679846599868416,2022-06-14 12:00:00+00:00,"🆕 This week on #ComfortEatingPod, host @gracedent is joined by the actress @SaoirseJackson.

They talk secret drinking as a school student, living in a haunted hotel, Saoirse's dad’s ‘awful’ cooking and much more.

Listen wherever you get your podcasts🎧

https://t.co/5OIdJoJBsF https://t.co/BPAzeWeIrr"
1536678901447118850,2022-06-14 11:56:14+00:00,Dating is traumatic; sex makes me anxious. How can I find a partner? https://t.co/CG1jdv264W
